iter	Passed	Remaining
0	169	169218
1	170	85208
2	172	57274
3	173	43253
4	175	34981
5	177	29325
6	178	25271
7	179	22256
8	180	19878
9	183	18141
10	185	16673
11	186	15389
12	188	14290
13	189	13346
14	190	12531
15	192	11816
16	193	11181
17	194	10606
18	195	10105
19	197	9664
20	198	9253
21	199	8883
22	200	8531
23	201	8208
24	202	7914
25	203	7638
26	204	7384
27	205	7149
28	207	6931
29	208	6728
30	209	6541
31	210	6369
32	211	6207
33	212	6049
34	214	5902
35	215	5760
36	216	5626
37	217	5501
38	218	5381
39	219	5265
40	220	5154
41	221	5049
42	222	4951
43	223	4853
44	225	4789
45	226	4703
46	227	4619
47	228	4541
48	230	4464
49	231	4390
50	232	4322
51	233	4254
52	234	4190
53	235	4125
54	236	4063
55	237	4006
56	239	3954
57	240	3900
58	241	3849
59	242	3797
60	243	3748
61	244	3699
62	245	3654
63	246	3609
64	247	3566
65	249	3526
66	250	3487
67	251	3448
68	252	3412
69	254	3375
70	255	3341
71	256	3306
72	257	3271
73	258	3237
74	259	3205
75	260	3173
76	262	3142
77	263	3110
78	264	3079
79	265	3050
80	266	3020
81	267	2996
82	268	2968
83	269	2941
84	271	2921
85	272	2895
86	273	2872
87	274	2848
88	275	2824
89	277	2803
90	278	2785
91	283	2794
92	284	2776
93	287	2766
94	289	2762
95	291	2741
96	292	2719
97	293	2704
98	295	2687
99	300	2704
100	302	2690
101	303	2672
102	304	2654
103	305	2635
104	307	2617
105	308	2599
106	309	2584
107	311	2573
108	313	2566
109	315	2556
110	317	2540
111	318	2525
112	319	2510
113	321	2494
114	322	2480
115	323	2466
116	324	2451
117	327	2448
118	329	2440
119	331	2427
120	332	2412
121	332	2395
122	333	2380
123	334	2366
124	335	2351
125	337	2339
126	338	2325
127	339	2312
128	341	2306
129	343	2299
130	344	2288
131	346	2279
132	347	2267
133	349	2256
134	350	2248
135	351	2236
136	353	2225
137	354	2214
138	356	2206
139	358	2200
140	359	2191
141	360	2178
142	362	2170
143	363	2159
144	364	2148
145	365	2138
146	366	2127
147	367	2116
148	368	2105
149	372	2109
150	373	2100
151	374	2089
152	375	2079
153	376	2070
154	377	2060
155	379	2051
156	380	2043
157	381	2034
158	382	2025
159	384	2019
160	385	2008
161	387	2003
162	388	1995
163	389	1987
164	391	1979
165	392	1972
166	393	1963
167	394	1955
168	395	1946
169	396	1938
170	398	1932
171	401	1934
172	403	1930
173	405	1922
174	406	1914
175	407	1905
176	408	1897
177	409	1888
178	410	1880
179	411	1872
180	412	1866
181	413	1860
182	415	1855
183	416	1847
184	417	1839
185	418	1833
186	420	1829
187	422	1822
188	423	1815
189	424	1809
190	425	1801
191	426	1795
192	428	1789
193	429	1785
194	430	1778
195	432	1772
196	433	1765
197	434	1759
198	435	1753
199	436	1746
200	437	1739
201	438	1732
202	439	1725
203	440	1719
204	442	1715
205	443	1708
206	444	1702
207	445	1696
208	446	1690
209	447	1684
210	448	1677
211	449	1671
212	450	1665
213	451	1660
214	452	1653
215	454	1648
216	455	1643
217	456	1638
218	458	1633
219	459	1627
220	460	1622
221	461	1616
222	462	1611
223	463	1605
224	464	1600
225	465	1594
226	466	1589
227	467	1584
228	468	1578
229	470	1573
230	471	1569
231	472	1564
232	473	1559
233	475	1555
234	476	1550
235	477	1546
236	478	1541
237	479	1536
238	480	1530
239	481	1525
240	482	1520
241	484	1516
242	485	1511
243	486	1507
244	488	1503
245	489	1500
246	491	1499
247	493	1496
248	494	1491
249	495	1486
250	496	1481
251	497	1477
252	498	1472
253	499	1467
254	500	1463
255	502	1460
256	503	1456
257	504	1452
258	506	1448
259	507	1444
260	508	1439
261	509	1434
262	510	1430
263	511	1426
264	512	1422
265	513	1418
266	515	1414
267	516	1411
268	518	1408
269	519	1405
270	521	1402
271	522	1398
272	523	1394
273	524	1390
274	525	1386
275	526	1382
276	528	1378
277	529	1374
278	531	1372
279	532	1369
280	533	1365
281	534	1361
282	535	1357
283	536	1353
284	538	1350
285	539	1347
286	541	1344
287	542	1341
288	543	1337
289	544	1334
290	546	1330
291	547	1327
292	548	1324
293	549	1320
294	551	1317
295	552	1313
296	553	1310
297	555	1307
298	556	1303
299	557	1300
300	558	1296
301	559	1293
302	560	1289
303	561	1286
304	562	1282
305	563	1278
306	564	1275
307	565	1271
308	567	1268
309	568	1264
310	569	1262
311	570	1258
312	571	1254
313	572	1251
314	574	1248
315	575	1245
316	576	1242
317	577	1239
318	578	1235
319	580	1232
320	581	1229
321	582	1226
322	583	1222
323	584	1220
324	585	1216
325	586	1213
326	587	1210
327	589	1207
328	590	1205
329	592	1202
330	593	1199
331	595	1197
332	596	1194
333	598	1192
334	599	1189
335	600	1187
336	602	1184
337	603	1182
338	605	1179
339	607	1178
340	608	1175
341	609	1172
342	610	1170
343	612	1167
344	613	1164
345	614	1161
346	615	1158
